flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,numUniqSentAddress,numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherSentContracts,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
1,0,2387389,58076.54546,89,1501076489,71482604.76,46,66,21,0,47,17,0,183,5.559412,0.018779,266,17.48634,87,366.9211898,367.2131298,0,0.2919399811,10,60,0.3134328358,0.75,0.2386363636,0.9691211714,0.8887818272,1.891304348,147.7014837
1,0,0,0,3021091,1502801951,752911521,35,0,2,0,0,2,0,0,0,0.003541,0.01,0.006771,2,0,0.013541267,0,0.013541267,2,1,2,0,0.6666666667,0,0.2384798117,0.05714285714,0.005
1,37,25112882,1710279.133,0,1500396779,68206119.14,299,15,22,0,13,21,0,25,13.33,0.425099,49.999314,9.10075,37,199.95,200.2164943,0,0.2664942701,14,16,1.375,0.3947368421,0.5789473684,0.4654496923,0.6142049091,0.1237458194,52.12957477
1,0,642460,15761.06422,0,1500037361,13525709.43,36,109,111,0,54,104,0,680,14.959358,0.01,193.5,14.689887,220,1630.57,1630.577419,0,0.00741913309,36,67,1.009090909,0.4932126697,0.5022624434,0.9579055788,0.7941210837,6.111111111,233.6892314
1,0,0,0,3894,1500402258,375140886.8,82,1,4,0,1,4,1.9,1.9,1.9,0.002199,1,0.47555,5,1.9,1.902199485,0,0.002199484949,3,3,2,0.1666666667,0.6666666667,0,0.4065557949,0.06097560976,0.7577880958
1,0,9343461,318072.4151,0,1504094906,20329403.15,199,53,74,0,50,63,0,1150.8,21.721885,0.002387,880,15.558149,127,1151.25988,1151.303026,0,0.043146035,37,29,1.37037037,0.4140625,0.578125,0.9810203249,0.9382594217,0.6381909548,488.3198454
1,833,318689,159761,202,1497861629,49946200.7,10,2,30,0,1,28,1,181.664,91.332,0.0165,68,6.089134,32,182.664,182.6740233,0,0.01002332376,7,17,10,0.06060606061,0.9090909091,0.494525467,0.7911300018,3.2,76.14692058
1,46,683,256.25,0,0,0,1,8,1,0,2,1,0,0.08,0.01,0.09,0.09,0.09,9,0.08,0.09,0,0.01,1,9,0.1111111111,0.8,0.1,0.8749912501,0,9,0.02514157444
1,0,563763,70630.75,114,1499237694,375083797.5,30,20,4,0,18,3,0,75,7.462902,0.1,147,37.318312,24,149.2580427,149.273246,0,0.015203328,24,1,0.1904761905,0.8,0.16,0.8991108807,0.738321939,0.8,49.58613693
1,28,177563,8507.163265,70,1499237674,53554510.32,9,49,28,0,35,23,0,150,6.213423,0,139,10.874718,77,304.4577281,304.4920986,0,0.03437049,9,32,0.56,0.6282051282,0.358974359,0.9453436977,0.8376769775,8.555555556,43.27235598
1,0,2142759,104967.3667,152,1499237803,375458171.5,140,90,4,0,51,4,0,9,0.103461,0.1,0.989557,0.372389,94,9.311456062,1.4895572,0,-7.821898862,94,1,0.04395604396,0.9473684211,0.04210526316,0.9874286662,0.4478966775,0.6714285714,3.388549396
1,12,201289,2422.428571,30,1499803226,28846195.87,6,119,52,0,64,45,0,131,7.515546,0.011493,515.221411,17.20108,171,894.34992,894.4561497,0,0.106229676,6,54,0.4333333333,0.6918604651,0.3023255814,0.931245419,0.9291923899,28.5,163.0694382
1,0,1914901,20948.62252,18,1499869261,17495231.9,92,151,86,0,87,53,0,640,13.691473,0.09874,267,24.043615,237,2067.412365,2067.750892,0,0.338526609,38,78,0.5657894737,0.6344537815,0.3613445378,0.9648286708,0.804273034,2.576086957,479.1317171
1,0,3125206,26693.46923,0,1499376414,14202022.89,111,130,106,0,50,66,0,739,15.311076,0,160,18.780728,236,1990.43984,1990.757132,0,0.31729108,12,65,0.8091603053,0.5485232068,0.447257384,0.9767744368,0.7093523531,2.126126126,394.1204177
1,279,15299,7789,0,0,0,1,2,1,0,1,1,0,0,0,0.01242,0.01242,0.01242,3,0,0.01241978,0,0.01241978,1,3,0.3333333333,0.5,0.25,0,0,3,0
1,315,1236,775.5,2138,1499438698,749720418,1,2,2,0,1,2,0,0,0,0.012346,0.081312,0.046829,4,0,0.0936584,0,0.0936584,1,4,0.6666666667,0.4,0.4,0,0.3681782559,4,0.005346035439
1,0,8715,211.266968,0,1511014351,14963617.7,5,221,101,0,74,99,0,482,2.891662,0.00832,64.019675,4.966275,322,639.0573675,501.5937353,0,-137.4636322,5,116,0.454954955,0.6842105263,0.3126934985,0.9929866554,0.8034886598,64.4,142.7414641
1,0,6350222,243951.5714,0,1504364384,41876374.67,116,28,36,0,25,30,0,51.25,1.855926,0.006667,20.00194,1.443682,64,51.96593796,51.97254159,0,0.006603639,21,36,1.24137931,0.4307692308,0.5538461538,0.9607161871,0.8427762178,0.5517241379,13.880105
1,0,0,0,857,1498772434,100538586.3,1345,1,15,0,1,15,27.751,27.751,27.751,0.5,7.9,1.850493,16,27.751,27.7573979,0,0.0063979,15,2,7.5,0.05882352941,0.8823529412,0,0.5034918234,0.01189591078,9.32218339
1,0,0,0,0,22195908,41561.30966,339,0,704,1,0,466,0,0,0,0,211,1.724272,705,0,1213.887394,0,1213.887394,13,644,704,0,0.9971671388,0,0.8704151057,2.079646018,318.654637
1,0,5542,1246.5,0,0,0,1,8,1,0,7,1,0,350,123.25,0.15,0.15,0.15,9,986,0.15,0,-985.85,1,9,0.1111111111,0.8,0.1,0.4997464499,0,9,402.6266843
1,0,8741639,562774.2121,27,1502503380,33392416.67,217,33,45,0,28,37,0,561.8,24.216943,0.014304,499,17.759977,78,799.1591239,799.1989844,0,0.039860586,34,25,1.323529412,0.417721519,0.5696202532,0.9433407405,0.8643089535,0.3594470046,277.0783865
1,0,9349075,567675.9697,10,1502226359,23115316.14,220,33,65,0,31,54,0,1276,38.758289,0.002008,709.573978,19.677775,98,1279.023552,1279.055397,0,0.03184584,36,29,1.911764706,0.3333333333,0.6565656566,0.9694054322,0.8775017945,0.4454545455,505.2691346
1,0,9345238,380658.1628,0,1503077775,29145255.36,672,43,53,0,34,45,0,1084.5,25.257029,0,236.061489,20.492319,96,1086.052264,1086.092911,0,0.040646605,42,37,1.204545455,0.4432989691,0.5463917526,0.9766000918,0.8521741098,0.1428571429,402.8214741
1,18,344763,43645.58333,104,1501775546,107286594.9,21,36,14,0,35,13,0,70,3.544755,0.096643,86.356173,9.117069,50,127.6111953,127.63896,0,0.027764688,21,17,0.3783783784,0.7058823529,0.2745098039,0.941877248,0.8112499086,2.380952381,31.07209707
1,0,9348351,874536.5238,38,1502664883,36655239.54,215,21,41,0,20,35,0,607.5,28.992613,0.007,257.675164,14.850349,62,608.8448759,608.8643104,0,0.019434507,22,19,1.863636364,0.3333333333,0.6507936508,0.9520478431,0.8322996106,0.288372093,236.7076521
1,0,0,0,0,14163,1991.357143,1,0,28,1,0,6,0,0,0,0,3.3125,0.243823,29,0,6.827057,0,6.827057,1,29,28,0,0.9333333333,0,0.9196126368,29,3.017276824
1,0,0,0,21,94402499,2367261.275,1096,0,40,1,0,30,0,0,0,0,11.775,1.180752,41,0,47.23007096,0,47.23007096,5,33,40,0,0.9523809524,0,0.7065338516,0.03740875912,16.25068022
1,0,825457,81309.83333,0,1501889465,35828289.69,68,36,42,4,17,40,0,147,9.066568,0.02355,150,6.660813,82,326.396432,279.7541548,0,-46.6422772,32,40,1.135135135,0.4337349398,0.5060240964,0.9169711942,0.86977829,1.205882353,107.2402166
1,0,7226999,27189.34546,0,1509659873,5196984.251,135,330,291,0,130,244,0,1082,3.383122,0.004031,194.843084,3.033368,621,1116.430383,882.7100175,0,-233.7203659,65,73,0.8791540785,0.5305466238,0.4678456592,0.9966883012,0.9005282193,4.6,397.7152736
1,0,0,0,168213,1503358960,751763586.5,3,1,2,0,1,2,1.794427,1.794427,1.794427,0.439559,1.355309,0.897434,3,1.794427,1.794868,0,0.000441,3,1,1,0.25,0.5,0,0.2551022966,1,0.7636787916
1,0,9344796,244741.6667,0,1503242598,15342951.52,209,72,98,0,67,89,0,429.5,5.978986,0.001025,85.228662,4.393417,170,430.4870056,430.5548345,0,0.067828932,47,43,1.342465753,0.4210526316,0.5730994152,0.9854970497,0.8329260376,0.8133971292,137.0938191
1,57,1094135,188739.8462,0,1501723512,17534987.15,1116,13,91,0,5,48,0,174.341246,13.514005,0.0002,86.862386,1.930408,104,175.6820632,175.6671465,0,-0.01491667179,39,13,6.5,0.1238095238,0.8666666667,0.9210589514,0.8609982845,0.09318996416,67.7419476
1,0,2882013,32003.55513,0,1502902146,29504846.57,119,263,51,0,60,43,0,50,1.26403,0.006697,100.140366,4.283776,314,332.44,218.4725976,0,-113.9674024,82,60,0.1931818182,0.8349206349,0.1619047619,0.9355656452,0.8665825113,2.638655462,37.0349852
1,0,9343366,149599.0225,0,1503721433,19583328.79,203,89,77,0,86,69,0,169.4,1.91317,0.00374,40.19783,2.210982,166,170.272094,170.2455978,0,-0.02649624749,59,35,0.8555555556,0.5329341317,0.4610778443,0.9871417262,0.8647786037,0.8177339901,60.00643379
1,0,0,0,0,1503313030,100268303.3,36,1,15,0,1,13,115.28,115.28,115.28,0.20375,37,7.685379,16,115.28,115.2806853,0,0.0006852512,10,7,7.5,0.05882352941,0.8823529412,0,0.7115017454,0.4444444444,35.00520706
1,3358964,13568094,8463529,556,1500333651,150419238,241,2,10,0,2,9,8.338509,11,9.669255,0.2,10,1.934,12,19.338509,19.34,0,0.001491,7,5,3.333333333,0.1538461538,0.7692307692,0.0688132413,0.5472595374,0.04979253112,5.792211437
1,0,9342985,190588.88,61,1504456370,21527709.41,195,75,70,0,70,61,0,365.3,4.888695,0.000972,141,5.238864,145,366.6521131,366.7204461,0,0.068332955,44,36,0.9210526316,0.5136986301,0.4794520548,0.9859417633,0.8691363002,0.7435897436,123.9751839
1,187,1167119,189569,0,1504183516,16951955.26,265,7,90,0,6,84,0,416.5,60.157251,0.003608,200,4.678927,97,421.1007571,421.1034419,0,0.002684809,9,88,11.25,0.07142857143,0.9183673469,0.8523729315,0.8214075705,0.3660377358,157.1616343
1,0,0,0,0,21900,3615.866667,2,0,30,1,0,28,0,0,0,0.031,76,6.03313,31,0,180.9939065,0,180.9939065,2,24,30,0,0.9375,0,0.8485140969,15.5,47.75090392
1,0,5008,649.628571,0,1504738443,75239638,1,35,20,0,16,17,0,202,5.846967,0.00741,39.8,6.129262,55,204.6438514,122.5852364,0,-82.05861499,1,55,0.5555555556,0.625,0.3571428571,0.9700926209,0.7783585297,55,83.83791173
1,0,0,0,665,1504787800,215004945,5,1,7,0,1,6,7.6,7.6,7.6,0.00237,5,1.089296,8,7.6,7.62507332,0,0.02507332,4,5,3.5,0.1111111111,0.7777777778,0,0.6721655832,1.6,2.135485507
1,41,15543868,3142000.4,0,1504533527,36721517.76,194,5,41,0,5,41,0,683.65,136.741102,0.164,100,16.675807,46,683.7055092,683.7081,0,0.002590833,13,20,6.833333333,0.1063829787,0.8723404255,0.7999675239,0.5095265182,0.2371134021,247.2383649
1,0,27516,405.009615,0,1504451425,26395737,3,208,57,0,54,45,0,74,1.295493,0.008779,21.049187,1.884695,265,269.4625288,107.4276046,0,-162.0349241,3,126,0.2727272727,0.7819548872,0.2142857143,0.9769028786,0.6434483525,88.33333333,21.4995081
1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0.03,0.03,0.03,2,0,0.03,0,0.03,1,2,1,0,0.3333333333,0,0,2,0.015
1,0,0,0,46,488330,23316.85185,8,0,27,1,0,26,0,0,0,0.01,1000,43.10756,28,0,1163.904128,0,1163.904128,3,15,27,0,0.9310344828,0,0.9330362285,3.5,509.5105416
