,0
minTimeBetweenSentTnx,61988131.0
maxTimeBetweenSentTnx,1658259705.0
avgTimeBetweenSentTnx,829129862.5
minTimeBetweenRecTnx,150856160.0
maxTimeBetweenRecTnx,1658259816.0
avgTimeBetweenRecTnx,830993230.5
lifetime,2293.0
sentTransactions,10000.0
receivedTransactions,10000.0
createdContracts,9947.0
numUniqSentAddress,9950.0
numUniqRecAddress,9996.0
minValSent,25533.61433
maxValSent,611102.0145
avgValSent,25533.61433
minValReceived,25533.61452
maxValReceived,800000.0
avgValReceived,283618.8316
totalTransactions,19948.0
totalEtherSent,6813193.093
totalEtherReceived,2955139.523
totalEtherSentContracts,39.0
totalEtherBalance,1847901.376
activityDays,1912.0
dailyMax,10000.0
ratioRecSent,10000.0
ratioSentTotal,0.99990001
ratioRecTotal,0.99990001
giniSent,0.9998962822
giniRec,0.9998939656
txFreq,10000.0
stdBalanceEth,2038484.146
